filename,species,source,origin_label,license,original_ref
local_1-100032-A.wav,Dog,balanced7_existing,Dog,mixed-existing,D:\CSDLDPT\data\balanced_raw\Dog\local_1-100032-A.wav
local_1-110389-A.wav,Dog,balanced7_existing,Dog,mixed-existing,D:\CSDLDPT\data\balanced_raw\Dog\local_1-110389-A.wav
local_1-30226-A.wav,Dog,balanced7_existing,Dog,mixed-existing,D:\CSDLDPT\data\balanced_raw\Dog\local_1-30226-A.wav
local_1-30344-A.wav,Dog,balanced7_existing,Dog,mixed-existing,D:\CSDLDPT\data\balanced_raw\Dog\local_1-30344-A.wav
local_1-32318-A.wav,Dog,balanced7_existing,Dog,mixed-existing,D:\CSDLDPT\data\balanced_raw\Dog\local_1-32318-A.wav
local_1-59513-A.wav,Dog,balanced7_existing,Dog,mixed-existing,D:\CSDLDPT\data\balanced_raw\Dog\local_1-59513-A.wav
local_1-85362-A.wav,Dog,balanced7_existing,Dog,mixed-existing,D:\CSDLDPT\data\balanced_raw\Dog\local_1-85362-A.wav
local_1-97392-A.wav,Dog,balanced7_existing,Dog,mixed-existing,D:\CSDLDPT\data\balanced_raw\Dog\local_1-97392-A.wav
local_2-114280-A.wav,Dog,balanced7_existing,Dog,mixed-existing,D:\CSDLDPT\data\balanced_raw\Dog\local_2-114280-A.wav
local_2-114587-A.wav,Dog,balanced7_existing,Dog,mixed-existing,D:\CSDLDPT\data\balanced_raw\Dog\local_2-114587-A.wav
local_2-116400-A.wav,Dog,balanced7_existing,Dog,mixed-existing,D:\CSDLDPT\data\balanced_raw\Dog\local_2-116400-A.wav
local_2-117271-A.wav,Dog,balanced7_existing,Dog,mixed-existing,D:\CSDLDPT\data\balanced_raw\Dog\local_2-117271-A.wav
local_2-118072-A.wav,Dog,balanced7_existing,Dog,mixed-existing,D:\CSDLDPT\data\balanced_raw\Dog\local_2-118072-A.wav
local_2-118964-A.wav,Dog,balanced7_existing,Dog,mixed-existing,D:\CSDLDPT\data\balanced_raw\Dog\local_2-118964-A.wav
local_2-122104-A.wav,Dog,balanced7_existing,Dog,mixed-existing,D:\CSDLDPT\data\balanced_raw\Dog\local_2-122104-A.wav
local_2-122104-B.wav,Dog,balanced7_existing,Dog,mixed-existing,D:\CSDLDPT\data\balanced_raw\Dog\local_2-122104-B.wav
local_3-136288-A.wav,Dog,balanced7_existing,Dog,mixed-existing,D:\CSDLDPT\data\balanced_raw\Dog\local_3-136288-A.wav
local_3-144028-A.wav,Dog,balanced7_existing,Dog,mixed-existing,D:\CSDLDPT\data\balanced_raw\Dog\local_3-144028-A.wav
local_3-155312-A.wav,Dog,balanced7_existing,Dog,mixed-existing,D:\CSDLDPT\data\balanced_raw\Dog\local_3-155312-A.wav
local_3-157695-A.wav,Dog,balanced7_existing,Dog,mixed-existing,D:\CSDLDPT\data\balanced_raw\Dog\local_3-157695-A.wav
local_3-163459-A.wav,Dog,balanced7_existing,Dog,mixed-existing,D:\CSDLDPT\data\balanced_raw\Dog\local_3-163459-A.wav
local_3-170015-A.wav,Dog,balanced7_existing,Dog,mixed-existing,D:\CSDLDPT\data\balanced_raw\Dog\local_3-170015-A.wav
local_3-180256-A.wav,Dog,balanced7_existing,Dog,mixed-existing,D:\CSDLDPT\data\balanced_raw\Dog\local_3-180256-A.wav
local_3-180977-A.wav,Dog,balanced7_existing,Dog,mixed-existing,D:\CSDLDPT\data\balanced_raw\Dog\local_3-180977-A.wav
local_4-182395-A.wav,Dog,balanced7_existing,Dog,mixed-existing,D:\CSDLDPT\data\balanced_raw\Dog\local_4-182395-A.wav
local_4-183992-A.wav,Dog,balanced7_existing,Dog,mixed-existing,D:\CSDLDPT\data\balanced_raw\Dog\local_4-183992-A.wav
local_4-184575-A.wav,Dog,balanced7_existing,Dog,mixed-existing,D:\CSDLDPT\data\balanced_raw\Dog\local_4-184575-A.wav
local_4-191687-A.wav,Dog,balanced7_existing,Dog,mixed-existing,D:\CSDLDPT\data\balanced_raw\Dog\local_4-191687-A.wav
local_4-192236-A.wav,Dog,balanced7_existing,Dog,mixed-existing,D:\CSDLDPT\data\balanced_raw\Dog\local_4-192236-A.wav
local_4-194754-A.wav,Dog,balanced7_existing,Dog,mixed-existing,D:\CSDLDPT\data\balanced_raw\Dog\local_4-194754-A.wav
local_4-199261-A.wav,Dog,balanced7_existing,Dog,mixed-existing,D:\CSDLDPT\data\balanced_raw\Dog\local_4-199261-A.wav
local_4-207124-A.wav,Dog,balanced7_existing,Dog,mixed-existing,D:\CSDLDPT\data\balanced_raw\Dog\local_4-207124-A.wav
local_5-203128-A.wav,Dog,balanced7_existing,Dog,mixed-existing,D:\CSDLDPT\data\balanced_raw\Dog\local_5-203128-A.wav
local_5-203128-B.wav,Dog,balanced7_existing,Dog,mixed-existing,D:\CSDLDPT\data\balanced_raw\Dog\local_5-203128-B.wav
local_5-208030-A.wav,Dog,balanced7_existing,Dog,mixed-existing,D:\CSDLDPT\data\balanced_raw\Dog\local_5-208030-A.wav
local_5-212454-A.wav,Dog,balanced7_existing,Dog,mixed-existing,D:\CSDLDPT\data\balanced_raw\Dog\local_5-212454-A.wav
local_5-213855-A.wav,Dog,balanced7_existing,Dog,mixed-existing,D:\CSDLDPT\data\balanced_raw\Dog\local_5-213855-A.wav
local_5-217158-A.wav,Dog,balanced7_existing,Dog,mixed-existing,D:\CSDLDPT\data\balanced_raw\Dog\local_5-217158-A.wav
local_5-231762-A.wav,Dog,balanced7_existing,Dog,mixed-existing,D:\CSDLDPT\data\balanced_raw\Dog\local_5-231762-A.wav
local_5-9032-A.wav,Dog,balanced7_existing,Dog,mixed-existing,D:\CSDLDPT\data\balanced_raw\Dog\local_5-9032-A.wav
local_dog_0.wav,Dog,balanced7_existing,Dog,mixed-existing,D:\CSDLDPT\data\balanced_raw\Dog\local_dog_0.wav
local_dog_1 (2).wav,Dog,balanced7_existing,Dog,mixed-existing,D:\CSDLDPT\data\balanced_raw\Dog\local_dog_1 (2).wav
local_Dog_1.wav,Dog,balanced7_existing,Dog,mixed-existing,D:\CSDLDPT\data\balanced_raw\Dog\local_Dog_1.wav
local_dog_10 (2).wav,Dog,balanced7_existing,Dog,mixed-existing,D:\CSDLDPT\data\balanced_raw\Dog\local_dog_10 (2).wav
local_dog_11 (2).wav,Dog,balanced7_existing,Dog,mixed-existing,D:\CSDLDPT\data\balanced_raw\Dog\local_dog_11 (2).wav
local_dog_12 (2).wav,Dog,balanced7_existing,Dog,mixed-existing,D:\CSDLDPT\data\balanced_raw\Dog\local_dog_12 (2).wav
local_dog_12 (3).wav,Dog,balanced7_existing,Dog,mixed-existing,D:\CSDLDPT\data\balanced_raw\Dog\local_dog_12 (3).wav
